prompt_id,split,template_id,structure,unordered_name_pair_id,pair_orientation,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
phase6_prompt_530e49a632d3d6be,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_972d881e517b896c,not_applicable,Sylvia,Emma,"In the kitchen, Sylvia worked with Emma. After dinner, Emma passed the recipe card to",Sylvia,Emma,45425,18966
phase6_prompt_54e4b4bc7482fd24,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_c10be8c337c0690a,not_applicable,Kenneth,Catherine,"In the kitchen, Kenneth worked with Catherine. After dinner, Catherine passed the recipe card to",Kenneth,Catherine,23632,22578
phase6_prompt_57d73f0a1978b9fa,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_c132a379b83adcf8,not_applicable,Shirley,Nora,"In the kitchen, Shirley worked with Nora. After dinner, Nora passed the recipe card to",Shirley,Nora,40902,32561
phase6_prompt_592bb0f0f5a3c410,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_fafe5dac0cf40538,not_applicable,Shirley,Julie,"In the kitchen, Shirley worked with Julie. After dinner, Julie passed the recipe card to",Shirley,Julie,40902,21946
phase6_prompt_5bd5bf6b962575f2,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_d30c865a00f8d797,not_applicable,Joyce,Catherine,"In the kitchen, Joyce worked with Catherine. After dinner, Catherine passed the recipe card to",Joyce,Catherine,25936,22578
phase6_prompt_5bed6eb34b39dd87,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_2bd1a5b7216336d3,not_applicable,Diane,Joyce,"In the kitchen, Diane worked with Joyce. After dinner, Joyce passed the recipe card to",Diane,Joyce,26542,25936
phase6_prompt_5cad03a6c2c636af,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_544f5d851a96d6f3,not_applicable,Julie,Kenneth,"In the kitchen, Julie worked with Kenneth. After dinner, Kenneth passed the recipe card to",Julie,Kenneth,21946,23632
phase6_prompt_5e06781a890ff578,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_4165665d02790ae7,not_applicable,Shirley,Dawn,"In the kitchen, Shirley worked with Dawn. After dinner, Dawn passed the recipe card to",Shirley,Dawn,40902,12258
phase6_prompt_611135a7ed9ea68a,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_b5c1b6109e065720,not_applicable,Kathleen,Shirley,"In the kitchen, Kathleen worked with Shirley. After dinner, Shirley passed the recipe card to",Kathleen,Shirley,31275,40902
phase6_prompt_657d5d849d70df8f,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_40e5c291bc2ac2b2,not_applicable,Kathleen,Rebecca,"In the kitchen, Kathleen worked with Rebecca. After dinner, Rebecca passed the recipe card to",Kathleen,Rebecca,31275,23489
phase6_prompt_662ce0b8385b4889,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_42e710e7910660ea,not_applicable,Ruby,Nora,"In the kitchen, Ruby worked with Nora. After dinner, Nora passed the recipe card to",Ruby,Nora,10888,32561
phase6_prompt_66d72b5e874a7b85,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_b56579bdc1f33a77,not_applicable,Dawn,Donald,"In the kitchen, Dawn worked with Donald. After dinner, Donald passed the recipe card to",Dawn,Donald,12258,3759
phase6_prompt_6a4a38cff9b9a38a,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_ce76e0c6877440fb,not_applicable,Julie,Ruby,"In the kitchen, Julie worked with Ruby. After dinner, Ruby passed the recipe card to",Julie,Ruby,21946,10888
phase6_prompt_6ccd288075052a0f,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_dbe271a35c981a90,not_applicable,Ruby,Diane,"In the kitchen, Ruby worked with Diane. After dinner, Diane passed the recipe card to",Ruby,Diane,10888,26542
phase6_prompt_6ddecc2caffd6113,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_d23bcbf7f0e09081,not_applicable,Kenneth,Dawn,"In the kitchen, Kenneth worked with Dawn. After dinner, Dawn passed the recipe card to",Kenneth,Dawn,23632,12258
phase6_prompt_71ecef18a8f2b70c,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_31988da60c0d013c,not_applicable,Catherine,Emma,"In the kitchen, Catherine worked with Emma. After dinner, Emma passed the recipe card to",Catherine,Emma,22578,18966
phase6_prompt_7240dabd94326320,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_451ac58611a79733,not_applicable,Charles,Nora,"In the kitchen, Charles worked with Nora. After dinner, Nora passed the recipe card to",Charles,Nora,7516,32561
phase6_prompt_759a74668caf9b2c,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_0751090bedaa7b4c,not_applicable,Joyce,Shirley,"In the kitchen, Joyce worked with Shirley. After dinner, Shirley passed the recipe card to",Joyce,Shirley,25936,40902
phase6_prompt_7cf29d50e45fca7f,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_cdf29d77c8edda2d,not_applicable,Catherine,Kathleen,"In the kitchen, Catherine worked with Kathleen. After dinner, Kathleen passed the recipe card to",Catherine,Kathleen,22578,31275
phase6_prompt_7d36adf098d5cb7b,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_0f4a57fb2bce7ddd,not_applicable,Diane,Dawn,"In the kitchen, Diane worked with Dawn. After dinner, Dawn passed the recipe card to",Diane,Dawn,26542,12258
phase6_prompt_7dc37008680c0fd8,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_9ca2953e9f859a9a,not_applicable,Dawn,Joyce,"In the kitchen, Dawn worked with Joyce. After dinner, Joyce passed the recipe card to",Dawn,Joyce,12258,25936
phase6_prompt_809280c1da2faa69,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_240d2f79925ed062,not_applicable,Julie,Dawn,"In the kitchen, Julie worked with Dawn. After dinner, Dawn passed the recipe card to",Julie,Dawn,21946,12258
phase6_prompt_845f22817631035d,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_f6a219ae351c8269,not_applicable,Shirley,Catherine,"In the kitchen, Shirley worked with Catherine. After dinner, Catherine passed the recipe card to",Shirley,Catherine,40902,22578
phase6_prompt_87e747339a8684e3,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_1d31edd508f6cbf7,not_applicable,Donald,Stephanie,"In the kitchen, Donald worked with Stephanie. After dinner, Stephanie passed the recipe card to",Donald,Stephanie,3759,26085
phase6_prompt_88e3186e6c3340b2,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_96ebc20ff37f7f7f,not_applicable,Donald,Joyce,"In the kitchen, Donald worked with Joyce. After dinner, Joyce passed the recipe card to",Donald,Joyce,3759,25936
phase6_prompt_8e7603996263e041,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_eab90eca456cb7c8,not_applicable,Nora,Ruby,"In the kitchen, Nora worked with Ruby. After dinner, Ruby passed the recipe card to",Nora,Ruby,32561,10888
phase6_prompt_929b993f14a824cb,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_0a05ca80ba70dc5a,not_applicable,Emma,Ruby,"In the kitchen, Emma worked with Ruby. After dinner, Ruby passed the recipe card to",Emma,Ruby,18966,10888
phase6_prompt_937f0316e0f71f69,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_72bd28e9d76bd1d8,not_applicable,Stephanie,Emma,"In the kitchen, Stephanie worked with Emma. After dinner, Emma passed the recipe card to",Stephanie,Emma,26085,18966
phase6_prompt_94503b1d2cc71833,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_898dc60f3a41063e,not_applicable,Kenneth,Nora,"In the kitchen, Kenneth worked with Nora. After dinner, Nora passed the recipe card to",Kenneth,Nora,23632,32561
phase6_prompt_98bba6635dcf868a,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_113f7b11720180a4,not_applicable,Ruby,Sylvia,"In the kitchen, Ruby worked with Sylvia. After dinner, Sylvia passed the recipe card to",Ruby,Sylvia,10888,45425
phase6_prompt_a14ee5a38ee5d338,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_8456f1a2df568575,not_applicable,Dawn,Rebecca,"In the kitchen, Dawn worked with Rebecca. After dinner, Rebecca passed the recipe card to",Dawn,Rebecca,12258,23489
phase6_prompt_a3f1755fd9544838,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_395f54c71d57a95b,not_applicable,Donald,Charles,"In the kitchen, Donald worked with Charles. After dinner, Charles passed the recipe card to",Donald,Charles,3759,7516
phase6_prompt_a4502b9eb83db9c5,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_d4a54b63086cf460,not_applicable,Emma,Kathleen,"In the kitchen, Emma worked with Kathleen. After dinner, Kathleen passed the recipe card to",Emma,Kathleen,18966,31275
phase6_prompt_a6798be70758bc75,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_cee430783fe9db42,not_applicable,Emma,Rebecca,"In the kitchen, Emma worked with Rebecca. After dinner, Rebecca passed the recipe card to",Emma,Rebecca,18966,23489
phase6_prompt_acad63d387714cb9,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_01b4b09b715d0933,not_applicable,Catherine,Nora,"In the kitchen, Catherine worked with Nora. After dinner, Nora passed the recipe card to",Catherine,Nora,22578,32561
phase6_prompt_ad96108232cc635e,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_6a65ebcf0387aeeb,not_applicable,Charles,Kathleen,"In the kitchen, Charles worked with Kathleen. After dinner, Kathleen passed the recipe card to",Charles,Kathleen,7516,31275
phase6_prompt_b379ee54dd0bb158,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_24d3615f4f491a57,not_applicable,Stephanie,Rebecca,"In the kitchen, Stephanie worked with Rebecca. After dinner, Rebecca passed the recipe card to",Stephanie,Rebecca,26085,23489
phase6_prompt_c1d937e45f2a0813,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_e12b9c609b76f71c,not_applicable,Ruby,Shirley,"In the kitchen, Ruby worked with Shirley. After dinner, Shirley passed the recipe card to",Ruby,Shirley,10888,40902
phase6_prompt_c2d1f844d0a39161,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_41ac475a58842921,not_applicable,Nora,Kenneth,"In the kitchen, Nora worked with Kenneth. After dinner, Kenneth passed the recipe card to",Nora,Kenneth,32561,23632
phase6_prompt_d72af7e4810dcdd6,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_c072061ff19a76c1,not_applicable,Stephanie,Donald,"In the kitchen, Stephanie worked with Donald. After dinner, Donald passed the recipe card to",Stephanie,Donald,26085,3759
phase6_prompt_d9b193de309f7f67,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_8050332d8dd0048a,not_applicable,Joyce,Nora,"In the kitchen, Joyce worked with Nora. After dinner, Nora passed the recipe card to",Joyce,Nora,25936,32561
phase6_prompt_e0c969fd567cd3d8,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_2dfdfda7573e0d2f,not_applicable,Charles,Ruby,"In the kitchen, Charles worked with Ruby. After dinner, Ruby passed the recipe card to",Charles,Ruby,7516,10888
phase6_prompt_ee15602cc11881f6,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_4f79135a6b03c5a9,not_applicable,Catherine,Shirley,"In the kitchen, Catherine worked with Shirley. After dinner, Shirley passed the recipe card to",Catherine,Shirley,22578,40902
phase6_prompt_f8651bea4497fe63,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_0ce672f3ee9b8a8d,not_applicable,Diane,Stephanie,"In the kitchen, Diane worked with Stephanie. After dinner, Stephanie passed the recipe card to",Diane,Stephanie,26542,26085
phase6_prompt_f94dbe69347cf1dc,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_9376ce7fc5a5a227,not_applicable,Kathleen,Catherine,"In the kitchen, Kathleen worked with Catherine. After dinner, Catherine passed the recipe card to",Kathleen,Catherine,31275,22578
phase6_prompt_02974f884353fbb0,reference,p6_abba_library,ABBA,phase6_reference_pair_97dd2a87a4fb1452,not_applicable,Kathleen,Emma,"At the library, Kathleen met Emma. When the doors closed, Emma handed the borrowed novel to",Kathleen,Emma,31275,18966
phase6_prompt_040711528116873c,reference,p6_abba_library,ABBA,phase6_reference_pair_4a8c03c8bebed9ce,not_applicable,Diane,Catherine,"At the library, Diane met Catherine. When the doors closed, Catherine handed the borrowed novel to",Diane,Catherine,26542,22578
phase6_prompt_04bde6ec4be2261b,reference,p6_abba_library,ABBA,phase6_reference_pair_78f019741955f881,not_applicable,Kenneth,Stephanie,"At the library, Kenneth met Stephanie. When the doors closed, Stephanie handed the borrowed novel to",Kenneth,Stephanie,23632,26085
phase6_prompt_08c3c2f9d16be64c,reference,p6_abba_library,ABBA,phase6_reference_pair_9a4d9f7938b84dd2,not_applicable,Rebecca,Nora,"At the library, Rebecca met Nora. When the doors closed, Nora handed the borrowed novel to",Rebecca,Nora,23489,32561
phase6_prompt_13c853ef550d82d0,reference,p6_abba_library,ABBA,phase6_reference_pair_3fae44758c03c3e9,not_applicable,Nora,Dawn,"At the library, Nora met Dawn. When the doors closed, Dawn handed the borrowed novel to",Nora,Dawn,32561,12258
phase6_prompt_17f53c2a1a0c13db,reference,p6_abba_library,ABBA,phase6_reference_pair_ddda7b1be1bfe52d,not_applicable,Kenneth,Diane,"At the library, Kenneth met Diane. When the doors closed, Diane handed the borrowed novel to",Kenneth,Diane,23632,26542
phase6_prompt_1c5dad7f2826037c,reference,p6_abba_library,ABBA,phase6_reference_pair_90464d9a22d671b2,not_applicable,Joyce,Kathleen,"At the library, Joyce met Kathleen. When the doors closed, Kathleen handed the borrowed novel to",Joyce,Kathleen,25936,31275
phase6_prompt_23d3e5fb5ce79368,reference,p6_abba_library,ABBA,phase6_reference_pair_f947878ee6adbd83,not_applicable,Rebecca,Ruby,"At the library, Rebecca met Ruby. When the doors closed, Ruby handed the borrowed novel to",Rebecca,Ruby,23489,10888
phase6_prompt_3400d67f4dc45cfc,reference,p6_abba_library,ABBA,phase6_reference_pair_898dc60f3a41063e,not_applicable,Kenneth,Nora,"At the library, Kenneth met Nora. When the doors closed, Nora handed the borrowed novel to",Kenneth,Nora,23632,32561
phase6_prompt_3456f87c9d84b997,reference,p6_abba_library,ABBA,phase6_reference_pair_7a05591b3de122f9,not_applicable,Kathleen,Sylvia,"At the library, Kathleen met Sylvia. When the doors closed, Sylvia handed the borrowed novel to",Kathleen,Sylvia,31275,45425
phase6_prompt_34a511f235a4792a,reference,p6_abba_library,ABBA,phase6_reference_pair_e4a1d47c595ee8ac,not_applicable,Julie,Catherine,"At the library, Julie met Catherine. When the doors closed, Catherine handed the borrowed novel to",Julie,Catherine,21946,22578
phase6_prompt_3c963a1502d102ad,reference,p6_abba_library,ABBA,phase6_reference_pair_15b63b7744e74a53,not_applicable,Emma,Stephanie,"At the library, Emma met Stephanie. When the doors closed, Stephanie handed the borrowed novel to",Emma,Stephanie,18966,26085
phase6_prompt_41ce7ba10e8b1f1a,reference,p6_abba_library,ABBA,phase6_reference_pair_cee430783fe9db42,not_applicable,Emma,Rebecca,"At the library, Emma met Rebecca. When the doors closed, Rebecca handed the borrowed novel to",Emma,Rebecca,18966,23489
phase6_prompt_468006d8403f2d02,reference,p6_abba_library,ABBA,phase6_reference_pair_996e614a88919012,not_applicable,Ruby,Kenneth,"At the library, Ruby met Kenneth. When the doors closed, Kenneth handed the borrowed novel to",Ruby,Kenneth,10888,23632
phase6_prompt_47836d7e6973972e,reference,p6_abba_library,ABBA,phase6_reference_pair_9b38a376295f0b00,not_applicable,Joyce,Dawn,"At the library, Joyce met Dawn. When the doors closed, Dawn handed the borrowed novel to",Joyce,Dawn,25936,12258
phase6_prompt_4bc2cb6e64fd140c,reference,p6_abba_library,ABBA,phase6_reference_pair_17b1e9a6528ada1d,not_applicable,Kenneth,Charles,"At the library, Kenneth met Charles. When the doors closed, Charles handed the borrowed novel to",Kenneth,Charles,23632,7516
phase6_prompt_4d3b558698990d2b,reference,p6_abba_library,ABBA,phase6_reference_pair_54e34830438b70bd,not_applicable,Diane,Ruby,"At the library, Diane met Ruby. When the doors closed, Ruby handed the borrowed novel to",Diane,Ruby,26542,10888
phase6_prompt_4fa6913b71491801,reference,p6_abba_library,ABBA,phase6_reference_pair_2f40bbef0037f083,not_applicable,Rebecca,Emma,"At the library, Rebecca met Emma. When the doors closed, Emma handed the borrowed novel to",Rebecca,Emma,23489,18966
phase6_prompt_53acfd82b05f01cf,reference,p6_abba_library,ABBA,phase6_reference_pair_82326e683b23d474,not_applicable,Donald,Kenneth,"At the library, Donald met Kenneth. When the doors closed, Kenneth handed the borrowed novel to",Donald,Kenneth,3759,23632
phase6_prompt_55a43fb7f622470a,reference,p6_abba_library,ABBA,phase6_reference_pair_33876ce317a9c1eb,not_applicable,Charles,Diane,"At the library, Charles met Diane. When the doors closed, Diane handed the borrowed novel to",Charles,Diane,7516,26542
phase6_prompt_594a97ceb1f78d78,reference,p6_abba_library,ABBA,phase6_reference_pair_09745c0f2764a5ff,not_applicable,Sylvia,Julie,"At the library, Sylvia met Julie. When the doors closed, Julie handed the borrowed novel to",Sylvia,Julie,45425,21946
phase6_prompt_69c649a35526ff6c,reference,p6_abba_library,ABBA,phase6_reference_pair_273bda1a4f6b3dd8,not_applicable,Joyce,Ruby,"At the library, Joyce met Ruby. When the doors closed, Ruby handed the borrowed novel to",Joyce,Ruby,25936,10888
phase6_prompt_75829a587275e139,reference,p6_abba_library,ABBA,phase6_reference_pair_477fd51b57bd096f,not_applicable,Donald,Shirley,"At the library, Donald met Shirley. When the doors closed, Shirley handed the borrowed novel to",Donald,Shirley,3759,40902
phase6_prompt_779863da1acafc11,reference,p6_abba_library,ABBA,phase6_reference_pair_43342b87afaed967,not_applicable,Joyce,Donald,"At the library, Joyce met Donald. When the doors closed, Donald handed the borrowed novel to",Joyce,Donald,25936,3759
phase6_prompt_795b4a02daebd6bb,reference,p6_abba_library,ABBA,phase6_reference_pair_a98e7db9f710902d,not_applicable,Shirley,Stephanie,"At the library, Shirley met Stephanie. When the doors closed, Stephanie handed the borrowed novel to",Shirley,Stephanie,40902,26085
phase6_prompt_7a85e5719b260dea,reference,p6_abba_library,ABBA,phase6_reference_pair_3c459c1476d9803c,not_applicable,Emma,Nora,"At the library, Emma met Nora. When the doors closed, Nora handed the borrowed novel to",Emma,Nora,18966,32561
phase6_prompt_7a90aec3172309a2,reference,p6_abba_library,ABBA,phase6_reference_pair_972d881e517b896c,not_applicable,Sylvia,Emma,"At the library, Sylvia met Emma. When the doors closed, Emma handed the borrowed novel to",Sylvia,Emma,45425,18966
phase6_prompt_7cebab75736f5e21,reference,p6_abba_library,ABBA,phase6_reference_pair_9dd6358821319371,not_applicable,Nora,Kathleen,"At the library, Nora met Kathleen. When the doors closed, Kathleen handed the borrowed novel to",Nora,Kathleen,32561,31275
phase6_prompt_7ed8ea5de8c8aa8b,reference,p6_abba_library,ABBA,phase6_reference_pair_ca2168c536c69b28,not_applicable,Julie,Stephanie,"At the library, Julie met Stephanie. When the doors closed, Stephanie handed the borrowed novel to",Julie,Stephanie,21946,26085
phase6_prompt_8032926a9b58a9fd,reference,p6_abba_library,ABBA,phase6_reference_pair_6d3bc091b8acb30c,not_applicable,Donald,Kathleen,"At the library, Donald met Kathleen. When the doors closed, Kathleen handed the borrowed novel to",Donald,Kathleen,3759,31275
phase6_prompt_81bcb655cafbbf5e,reference,p6_abba_library,ABBA,phase6_reference_pair_395f54c71d57a95b,not_applicable,Donald,Charles,"At the library, Donald met Charles. When the doors closed, Charles handed the borrowed novel to",Donald,Charles,3759,7516
phase6_prompt_824a1220fca9692f,reference,p6_abba_library,ABBA,phase6_reference_pair_69e266209b866d2e,not_applicable,Charles,Joyce,"At the library, Charles met Joyce. When the doors closed, Joyce handed the borrowed novel to",Charles,Joyce,7516,25936
phase6_prompt_841147e7e66a7809,reference,p6_abba_library,ABBA,phase6_reference_pair_24d3615f4f491a57,not_applicable,Stephanie,Rebecca,"At the library, Stephanie met Rebecca. When the doors closed, Rebecca handed the borrowed novel to",Stephanie,Rebecca,26085,23489
phase6_prompt_84da541012de731a,reference,p6_abba_library,ABBA,phase6_reference_pair_63c21f6121302d91,not_applicable,Donald,Julie,"At the library, Donald met Julie. When the doors closed, Julie handed the borrowed novel to",Donald,Julie,3759,21946
phase6_prompt_84f0832140359e47,reference,p6_abba_library,ABBA,phase6_reference_pair_c072061ff19a76c1,not_applicable,Stephanie,Donald,"At the library, Stephanie met Donald. When the doors closed, Donald handed the borrowed novel to",Stephanie,Donald,26085,3759
phase6_prompt_872a8bf302fa13d1,reference,p6_abba_library,ABBA,phase6_reference_pair_9101701757d22b0d,not_applicable,Diane,Emma,"At the library, Diane met Emma. When the doors closed, Emma handed the borrowed novel to",Diane,Emma,26542,18966
phase6_prompt_89b0ee062548ddc0,reference,p6_abba_library,ABBA,phase6_reference_pair_c108d76a3032cfa3,not_applicable,Joyce,Kenneth,"At the library, Joyce met Kenneth. When the doors closed, Kenneth handed the borrowed novel to",Joyce,Kenneth,25936,23632
phase6_prompt_8ec2aff1b31ad18a,reference,p6_abba_library,ABBA,phase6_reference_pair_1d31edd508f6cbf7,not_applicable,Donald,Stephanie,"At the library, Donald met Stephanie. When the doors closed, Stephanie handed the borrowed novel to",Donald,Stephanie,3759,26085
phase6_prompt_93c635a14ac09636,reference,p6_abba_library,ABBA,phase6_reference_pair_114d35002a069a97,not_applicable,Charles,Dawn,"At the library, Charles met Dawn. When the doors closed, Dawn handed the borrowed novel to",Charles,Dawn,7516,12258
phase6_prompt_947a49e0d275633d,reference,p6_abba_library,ABBA,phase6_reference_pair_e1e1989c660ba37e,not_applicable,Nora,Emma,"At the library, Nora met Emma. When the doors closed, Emma handed the borrowed novel to",Nora,Emma,32561,18966
phase6_prompt_99fac8a38a19b1c7,reference,p6_abba_library,ABBA,phase6_reference_pair_67b4e97047a0014c,not_applicable,Catherine,Charles,"At the library, Catherine met Charles. When the doors closed, Charles handed the borrowed novel to",Catherine,Charles,22578,7516
phase6_prompt_a11ed4dbf088b2ad,reference,p6_abba_library,ABBA,phase6_reference_pair_fefbd0705df2f5a2,not_applicable,Dawn,Julie,"At the library, Dawn met Julie. When the doors closed, Julie handed the borrowed novel to",Dawn,Julie,12258,21946
phase6_prompt_a242410cdc8c5707,reference,p6_abba_library,ABBA,phase6_reference_pair_8ceb8527c558b038,not_applicable,Kenneth,Ruby,"At the library, Kenneth met Ruby. When the doors closed, Ruby handed the borrowed novel to",Kenneth,Ruby,23632,10888
phase6_prompt_a456ede024181c06,reference,p6_abba_library,ABBA,phase6_reference_pair_366b1cfd6d6ccc2f,not_applicable,Diane,Donald,"At the library, Diane met Donald. When the doors closed, Donald handed the borrowed novel to",Diane,Donald,26542,3759
